Name;Symbol;Date;High;Low;Open;Close;Volume;Marketcap
Polkadot;DOT;27/09/2020 23:59;436.219.225;416.051.801;434.038.273;431.028.125;3.163.619.274.218.380;3.675.151.411.956.250
Polkadot;DOT;28/09/2020 23:59;458.297.971;427.012.712;430.243.663;439.786.057;5.435.074.564.594.310;374.982.572.083.317
Polkadot;DOT;29/09/2020 23:59;460.288.724;435.814.665;442.175.762;450.045.212;5.089.659.293.066.320;38.373.001.680.152
Polkadot;DOT;30/09/2020 23:59;45.029.078;425.363.888;45.029.078;434.978.056;37.844.661.973.810.300;3.708.830.409.386.100
Polkadot;DOT;01/10/2020 23:59;458.343.031;425.738.199;435.096.756;434.383.142;4.451.437.078.943.490;3.703.757.887.077.120
Polkadot;DOT;02/10/2020 23:59;435.854.472;393.316.154;434.450.396;412.317.927;5.549.162.974.338.780;3.515.619.342.004.150
Polkadot;DOT;03/10/2020 23:59;413.151.263;403.811.866;412.732.162;407.004.647;36.196.476.324.651.400;34.703.157.836.107.500
Polkadot;DOT;04/10/2020 23:59;419.549.358;402.151.674;406.763.299;417.391.126;2.863.569.685.654.720;35.588.758.530.090.700
Polkadot;DOT;05/10/2020 23:59;423.352.845;412.023.205;418.127.259;417.269.979;33.226.466.381.775.200;35.578.428.984.826.000
Polkadot;DOT;06/10/2020 23:59;418.200.208;364.568.094;416.927.135;375.616.173;6.622.707.109.197.770;3.202.682.677.053.950
Polkadot;DOT;07/10/2020 23:59;387.770.316;362.027.134;375.345.569;385.879.757;6.290.634.557.668.410;3.290.194.893.422.910
Polkadot;DOT;08/10/2020 23:59;416.000.962;366.464.088;385.762.533;410.264.234;6.142.231.106.244.750;3.498.108.576.119.660
Polkadot;DOT;09/10/2020 23:59;43.519.417;402.002.285;41.118.526;426.246.761;49.150.658.192.704.000;363.438.322.117.195
Polkadot;DOT;10/10/2020 23:59;447.580.068;423.972.928;426.040.695;425.295.528;492.038.159.224.521;36.262.725.618.142.900
Polkadot;DOT;11/10/2020 23:59;433.436.964;417.862.061;425.869.866;426.216.216;38.809.895.495.106.000;3.634.122.785.454.130
Polkadot;DOT;12/10/2020 23:59;443.700.326;420.790.264;425.573.928;431.994.798;4.896.085.322.238.810;36.833.937.325.923.700
Polkadot;DOT;13/10/2020 23:59;434.451.373;415.770.655;431.607.875;424.940.015;420.659.946.984.657;36.232.412.824.481.500
Polkadot;DOT;14/10/2020 23:59;435.809.785;409.373.446;425.553.051;419.911.439;5.201.986.193.497.650;3.580.365.245.434.820
Polkadot;DOT;15/10/2020 23:59;419.229.289;403.381.124;419.229.289;409.681.088;4.506.230.894.794.910;3.493.136.395.141.140
Polkadot;DOT;16/10/2020 23:59;41.571.084;383.991.198;410.002.446;390.952.943;4.432.955.151.973.070;33.334.512.995.383.900
Polkadot;DOT;17/10/2020 23:59;397.736.805;38.716.104;391.712.827;396.725.217;20.645.373.772.545.000;3.382.668.460.784.030
Polkadot;DOT;18/10/2020 23:59;412.171.798;396.001.225;396.836.011;41.046.509;204.108.300.386.455;34.998.211.711.018.900
Polkadot;DOT;19/10/2020 23:59;411.124.377;39.641.658;411.096.489;399.059.237;24.998.372.499.382.900;34.025.694.244.892.300
Polkadot;DOT;20/10/2020 23:59;413.819.549;387.563.877;398.968.963;391.034.337;50.269.469.275.751.600;3.334.145.297.471.870
Polkadot;DOT;21/10/2020 23:59;424.558.051;390.534.078;390.600.385;414.111.972;4.580.184.066.013.270;3.530.916.222.939.350
Polkadot;DOT;22/10/2020 23:59;433.187.496;41.316.499;414.091.473;426.894.964;3.673.092.253.363.360;3.639.910.111.755.860
Polkadot;DOT;23/10/2020 23:59;447.415.712;420.227.598;427.390.904;42.668.497;4.618.167.079.697.710;3.638.119.606.107.320
Polkadot;DOT;24/10/2020 23:59;44.309.251;424.464.275;426.685.298;435.534.397;3.103.065.517.120.930;3.713.574.040.581.550
Polkadot;DOT;25/10/2020 23:59;444.723.966;426.793.836;435.534.397;433.523.061;3.391.065.392.716.720;36.964.244.315.833.200
Polkadot;DOT;26/10/2020 23:59;473.870.836;430.417.111;433.523.115;472.701.624;7.229.908.097.885.580;403.047.954.980.599
Polkadot;DOT;27/10/2020 23:59;492.778.012;466.053.578;472.701.627;468.395.195;8.204.019.086.608.900;39.937.608.768.583.600
Polkadot;DOT;28/10/2020 23:59;477.425.197;426.227.648;468.395.355;436.509.669;6.499.717.379.621.390;372.188.967.607.034
Polkadot;DOT;29/10/2020 23:59;440.378.108;387.925.149;436.509.803;405.334.477;6.865.973.289.157.320;3.456.075.112.579.120
Polkadot;DOT;30/10/2020 23:59;41.567.611;393.718.717;405.327.784;408.811.312;5.865.774.432.561.200;34.857.202.654.840.900
Polkadot;DOT;31/10/2020 23:59;427.423.096;407.273.564;40.881.861;418.176.751;31.867.891.738.395.600;35.655.744.663.294.500
Polkadot;DOT;01/11/2020 23:59;422.561.493;412.206.332;418.167.307;422.561.493;3.028.611.238.206.750;3.602.960.876.341.050
Polkadot;DOT;02/11/2020 23:59;426.160.818;398.563.069;422.576.921;40.302.315;50.347.404.437.557.800;3.436.367.636.440.120
Polkadot;DOT;03/11/2020 23:59;406.516.097;388.636.969;403.022.899;402.546.848;41.347.112.090.169.500;34.323.064.619.563.800
Polkadot;DOT;04/11/2020 23:59;414.728.105;389.419.012;402.547.346;409.808.333;8.365.362.716.017.070;3.494.221.350.355.790
Polkadot;DOT;05/11/2020 23:59;429.735.366;402.567.638;409.808.406;423.519.485;37.526.528.720.005.100;36.111.291.700.172.500
Polkadot;DOT;06/11/2020 23:59;463.396.518;420.679.887;42.351.967;457.965.191;46.320.095.590.063.200;3.904.829.691.876.520
Polkadot;DOT;07/11/2020 23:59;48.383.977;410.651.432;457.965.191;424.195.952;724.809.168.162.992;36.168.970.502.414.900
Polkadot;DOT;08/11/2020 23:59;442.657.414;414.264.442;424.195.952;437.209.313;39.390.398.984.741.800;3.727.855.175.858.200
Polkadot;DOT;09/11/2020 23:59;445.768.447;425.032.719;437.209.282;434.676.728;3.969.032.799.047.600;37.062.611.414.633.400
Polkadot;DOT;10/11/2020 23:59;449.828.402;430.889.239;434.676.604;441.501.638;3.793.226.343.394.010;37.644.535.839.183.000
Polkadot;DOT;11/11/2020 23:59;462.040.428;441.501.786;441.501.786;44.572.018;4.045.138.897.670.980;39.104.364.711.621.300
Polkadot;DOT;12/11/2020 23:59;447.158.639;432.039.652;445.720.124;439.924.024;3.671.619.068.609.250;3.860.331.526.226.340
Polkadot;DOT;13/11/2020 23:59;45.850.208;43.741.268;439.924.057;45.401.198;3.425.191.034.827.280;39.852.811.555.457.500
Polkadot;DOT;14/11/2020 23:59;455.085.661;437.052.654;45.401.198;44.656.222;3.313.506.268.714.360;39.214.023.301.187.600
Polkadot;DOT;15/11/2020 23:59;44.914.761;430.956.438;44.656.222;437.998.835;3.254.390.577.207.350;3.847.021.230.326.700
Polkadot;DOT;16/11/2020 23:59;458.954.238;434.586.358;437.998.837;448.549.978;4.456.726.478.266.790;39.412.570.931.834.300
Polkadot;DOT;17/11/2020 23:59;491.090.672;456.673.089;460.851.823;484.466.572;6.750.699.494.004.350;42.577.741.819.348.900
Polkadot;DOT;18/11/2020 23:59;492.770.963;452.683.822;484.466.781;467.966.267;6.714.521.676.812.070;4.113.722.907.908.560
Polkadot;DOT;19/11/2020 23:59;484.830.787;454.736.358;46.796.579;47.567.662;5.516.079.994.876.680;4.182.706.632.093.550
Polkadot;DOT;20/11/2020 23:59;545.979.635;475.243.484;475.675.938;523.343.571;10.277.762.860.422.900;460.268.230.735.813
Polkadot;DOT;21/11/2020 23:59;580.604.287;514.174.493;523.343.578;575.192.122;10.227.509.323.892.200;5.060.561.831.851.370
Polkadot;DOT;22/11/2020 23:59;583.437.499;522.339.427;575.192.122;548.185.289;10.486.399.859.925.900;4.825.834.134.067.940
Polkadot;DOT;23/11/2020 23:59;593.907.758;54.224.792;54.818.537;59.069.321;9.979.562.767.228.560;5.201.454.892.916.670
Polkadot;DOT;24/11/2020 23:59;607.569.416;562.448.412;590.790.609;572.944.635;11.134.389.781.743.400;5.046.372.834.729.320
Polkadot;DOT;25/11/2020 23:59;581.634.992;518.307.308;572.933.505;530.985.986;10.111.164.136.538.600;4.677.929.616.075.300
Polkadot;DOT;26/11/2020 23:59;536.575.883;445.948.111;530.862.451;480.457.692;1.433.368.624.695.200;4.234.022.690.903.570
Polkadot;DOT;27/11/2020 23:59;506.801.663;452.234.416;480.589.982;478.279.012;8.646.848.582.502.760;4.215.509.965.685.530
Polkadot;DOT;28/11/2020 23:59;494.454.565;467.918.324;478.354.787;490.047.564;41.508.387.639.925.300;4.319.975.483.845.870
Polkadot;DOT;29/11/2020 23:59;520.043.548;481.423.285;490.107.881;519.035.218;4.517.879.535.996.100;457.644.642.002.794
Polkadot;DOT;30/11/2020 23:59;543.708.402;514.636.224;519.030.706;537.643.011;6.497.733.931.221.210;4.741.608.245.812.170
Polkadot;DOT;01/12/2020 23:59;553.034.605;501.844.081;537.725.445;509.356.673;777.715.514.444.483;4.497.421.388.966.290
Polkadot;DOT;02/12/2020 23:59;553.200.217;503.074.704;509.346.735;546.415.704;607.216.780.300.164;4.829.741.979.228.190
Polkadot;DOT;03/12/2020 23:59;556.402.352;533.820.734;546.474.445;541.036.865;35.459.313.106.204.100;4.783.391.737.298.500
Polkadot;DOT;04/12/2020 23:59;543.447.429;497.195.277;541.014.687;503.271.351;4.229.443.920.633.200;4.453.957.345.832.880
Polkadot;DOT;05/12/2020 23:59;519.021.887;489.215.978;502.970.369;518.890.299;40.895.285.209.852.600;4.592.436.805.221.740
Polkadot;DOT;06/12/2020 23:59;520.137.924;500.924.389;518.795.949;5.135.868;2.992.856.272.012.510;4.547.051.375.878.820
